,year,language,count
15,1999,Spanish - Spain,1
29,2001,Italian,1
14,1999,Simplified Chinese,1
13,1999,Russian,1
11,1999,Italian,1
31,2001,Russian,1
4,1998,Korean,1
32,2001,Simplified Chinese,1
22,2000,Russian,1
34,2001,Traditional Chinese,1
6,1998,Spanish - Spain,1
5,1998,Simplified Chinese,1
35,2002,Czech,1
7,1998,Traditional Chinese,1
325,2014,Vietnamese,1
49,2004,Danish,1
137,2008,Norwegian,1
148,2008,Ukrainian,1
149,2009,English,1
150,2009,Spanish - Spain,1
151,2009,English,1
153,2009,Arabic,1
182,2010,Bulgarian,1
187,2010,Finnish,1
190,2010,Greek,1
195,2010,Norwegian,1
198,2010,Portuguese - Brazil,1
199,2010,Romanian,1
202,2010,Spanish - Spain,1
203,2010,Spanish - Latin America,1
206,2010,Thai,1
210,2010,Vietnamese,1
211,2011,Arabic,1
220,2011,Greek,1
264,2012,Thai,1
1,1998,French,1
144,2008,Spanish - Latin America,1
135,2008,Japanese,1
50,2004,Dutch,1
123,2007,Turkish,1
52,2004,Finnish,1
58,2004,Norwegian,1
59,2004,Polish,1
60,2004,Portuguese,1
64,2004,Swedish,1
67,2004,Turkish,1
72,2005,Japanese,1
74,2006,Bulgarian,1
82,2006,Greek,1
90,2006,Portuguese - Brazil,1
97,2006,Turkish,1
98,2006,Ukrainian,1
99,2007,Bulgarian,1
107,2007,Greek,1
115,2007,Portuguese - Brazil,1
116,2007,Romanian,1
121,2007,Thai,1
0,1998,English,1
